지역,지역코드,거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd
성남시 수정구,41131,2026-09-03,태평동,7346,가천대역두산위브,59.9729,5,88000,2018,,"경기 고양시 덕양구, 경기 성남시 수정구",,개인,개인,,41131-1624,7346,0000,,,중개거래,1,N,,태평로,00065,00000,3178032,00,41131,0,41131,10200
성남시 수정구,41131,2026-09-02,창곡동,507,위례보미리즌빌,96.21,8,187000,2017,,"경기 성남시 수정구, 경기 하남시",,개인,개인,,41131-1570,0507,0000,,,중개거래,1,N,,위례광장로,00082,00000,3000238,00,41131,0,41131,10800
성남시 수정구,41131,2026-09-02,신흥동,6951,산성역포레스티아,59.84,27,150000,2020,,"경기 성남시 수정구, 대구 수성구",,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-09-02,고등동,592,판교밸리호반써밋,84.9872,5,135000,2019,,경기 성남시 수정구,,개인,개인,,41131-1642,0592,0000,,,중개거래,1,N,,고등로,00034,00000,3352360,01,41131,0,41131,11200
성남시 수정구,41131,2026-09-02,단대동,100,단대푸르지오,59.72,8,121500,2012,,"경기 성남시 수정구, 서울 강남구",,개인,개인,,41131-1446,0100,0000,,,중개거래,1,N,,산성대로437번길,00007,00000,4334226,01,41131,0,41131,10400
성남시 수정구,41131,2026-09-01,단대동,182,미도,77.82,1,90000,1982,,경기 성남시 수정구,,개인,개인,,41131-17,0182,0000,,,중개거래,1,N,,분당수서로,00472,00000,3180055,00,41131,0,41131,10400
성남시 수정구,41131,2026-08-29,창곡동,572,힐스테이트위례,110.86,4,160000,2015,,경기 하남시,,개인,개인,,41131-1492,0572,0000,,,중개거래,1,N,,위례동로,00015,00000,3202060,01,41131,,41131,10800
성남시 수정구,41131,2026-08-29,창곡동,521,위례더힐55,85.4621,11,170000,2015,,경기 성남시 수정구,,개인,개인,,41131-1497,0521,0000,,,중개거래,1,N,,위례순환로,00220,00000,3000239,01,41131,0,41131,10800
성남시 수정구,41131,2026-08-29,신흥동,6951,산성역포레스티아,74.98,11,155500,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-28,창곡동,515,위례호반써밋에비뉴,98.95,15,124800,2016,,,,개인,개인,,41131-1549,0515,0000,,,직거래,1,N,,위례중앙로,00216,00000,3000236,01,41131,,41131,10800
성남시 수정구,41131,2026-08-27,신흥동,6961,산성역자이푸르지오1단지,59.97,15,133000,2024,,"경기 성남시 수정구, 서울 송파구",,개인,개인,,41131-1710,6961,0000,,,중개거래,1,N,,수정로,00260,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-26,창곡동,521,위례더힐55,85.4621,10,176000,2015,,경기 성남시 수정구,,개인,개인,,41131-1497,0521,0000,,,중개거래,1,N,,위례순환로,00220,00000,3000239,01,41131,0,41131,10800
성남시 수정구,41131,2026-08-25,창곡동,521,위례더힐55,149.0052,13,196000,2015,,,,개인,개인,,41131-1497,0521,0000,,,직거래,1,N,,위례순환로,00220,00000,3000239,01,41131,0,41131,10800
성남시 수정구,41131,2026-08-24,태평동,7306,선경태평,35.51,2,26000,1991,,경기 성남시 수정구,,기타,개인,,41131-8,7306,0000,,,중개거래,1,N,,시민로,00214,00000,3178033,00,41131,0,41131,10200
성남시 수정구,41131,2026-08-22,신흥동,6951,산성역포레스티아,84.96,12,168000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-18,신흥동,6961,산성역자이푸르지오1단지,84.98,10,147000,2024,,"경기 성남시 수정구, 서울 서초구",,개인,개인,,41131-1710,6961,0000,,,중개거래,1,N,,수정로,00260,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-18,신흥동,6961,산성역자이푸르지오1단지,59.97,12,134500,2024,,경기 성남시 수정구,,개인,개인,,41131-1710,6961,0000,,,중개거래,1,N,,수정로,00260,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-17,신흥동,6961,산성역자이푸르지오1단지,74.92,8,145000,2024,,경기 성남시 수정구,,개인,개인,,41131-1710,6961,0000,,,중개거래,1,N,,수정로,00260,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-16,고등동,590,판교밸리제일풍경채,84.8324,12,140700,2020,,,,개인,법인,,41131-1645,0590,0000,,,직거래,1,N,,고등공원로,00019,00000,3352361,00,41131,0,41131,11200
성남시 수정구,41131,2026-08-15,신흥동,6951,산성역포레스티아,74.98,8,160000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-14,창곡동,567,위례 래미안이편한세상,84.98,7,200000,2016,,"경기 성남시 수정구, 경기 화성시 동탄구",,개인,개인,,41131-1520,0567,0000,,,중개거래,1,N,,위례동로,00061,00000,3202060,01,41131,,41131,10800
성남시 수정구,41131,2026-08-13,창곡동,521,위례더힐55,85.7528,4,164000,2015,,"경기 성남시 수정구, 경기 하남시",,개인,개인,5515,41131-1497,0521,0000,,,중개거래,1,N,26.08.31,위례순환로,00220,00000,3000239,01,41131,0,41131,10800
성남시 수정구,41131,2026-08-13,수진동,4678,삼정그린뷰,84.9274,8,86000,2003,,경기 성남시 수정구,,개인,개인,,41131-24,4678,0000,,,중개거래,1,N,,수정로,00002,00000,3178018,03,41131,0,41131,10300
성남시 수정구,41131,2026-08-12,신흥동,6951,산성역포레스티아,74.98,15,160000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-12,신흥동,6961,산성역자이푸르지오1단지,59.98,23,135500,2024,,경기 성남시 수정구,,개인,개인,,41131-1710,6961,0000,,,중개거래,1,N,,수정로,00260,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-10,신흥동,6951,산성역포레스티아,74.98,7,161000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-08,신흥동,6951,산성역포레스티아,59.84,6,141000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-08,고등동,590,판교밸리제일풍경채,84.991,9,141000,2020,,,,개인,법인,,41131-1645,0590,0000,,,직거래,1,N,,고등공원로,00019,00000,3352361,00,41131,0,41131,11200
성남시 수정구,41131,2026-08-08,창곡동,565,위례역푸르지오4단지,83.001,5,190000,2017,,경기 성남시 수정구,,개인,개인,,41131-1591,0565,0000,,,중개거래,1,N,,위례광장로,00036,00000,3000238,00,41131,0,41131,10800
성남시 수정구,41131,2026-08-08,신흥동,6951,산성역포레스티아,59.84,18,149000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-08,신흥동,6951,산성역포레스티아,59.84,8,145000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-08,신흥동,2464-1,청구,84.99,2,95000,1994,,경기 성남시 수정구,,개인,개인,,41131-3,2464,0001,,,중개거래,1,N,,공원로,00340,00000,3179003,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-08,고등동,592,판교밸리호반써밋,84.9872,2,128000,2019,,경기 성남시 수정구,,개인,개인,,41131-1642,0592,0000,,,중개거래,1,N,,고등로,00034,00000,3352360,01,41131,0,41131,11200
성남시 수정구,41131,2026-08-07,고등동,592,판교밸리호반써밋,84.9872,3,123000,2019,,경기 성남시 수정구,,개인,개인,205동,41131-1642,0592,0000,,,중개거래,1,N,26.09.03,고등로,00034,00000,3352360,01,41131,0,41131,11200
성남시 수정구,41131,2026-08-07,신흥동,6951,산성역포레스티아,59.84,25,143000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-07,신흥동,6951,산성역포레스티아,67.86,8,150000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-07,고등동,590,판교밸리제일풍경채,84.9387,12,134400,2020,,,,개인,법인,,41131-1645,0590,0000,,,직거래,1,N,,고등공원로,00019,00000,3352361,00,41131,0,41131,11200
성남시 수정구,41131,2026-08-07,신흥동,6963,산성역자이푸르지오2단지,59.98,3,138000,2024,,경기 성남시 수정구,,개인,개인,,41131-1711,6963,0000,,,중개거래,1,N,,수정로,00288,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-07,단대동,6986,코오롱하늘채,84.9919,12,110000,2013,,경기 성남시 수정구,,개인,개인,,41131-1448,6986,0000,,,중개거래,1,N,,단대로15번길,00002,00000,4334121,01,41131,0,41131,10400
성남시 수정구,41131,2026-08-06,창곡동,515,위례호반써밋에비뉴,98.95,9,116500,2016,,,,개인,개인,,41131-1549,0515,0000,,,직거래,1,N,,위례중앙로,00216,00000,3000236,01,41131,,41131,10800
성남시 수정구,41131,2026-08-06,고등동,601,판교밸리자이3단지,60.9892,4,108000,2023,,경기 성남시 분당구,,개인,개인,,41131-1682,0601,0000,,,중개거래,1,N,,대왕판교로,00961,00000,3180005,00,41131,,41131,11200
성남시 수정구,41131,2026-08-06,신흥동,125-2,셀레스빌,84.273,15,60500,2007,,경기 성남시 수정구,,개인,개인,,41131-1277,0125,0002,,,중개거래,1,N,,수정로,00316,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-05,고등동,592,판교밸리호반써밋,84.9872,9,118000,2019,,경기 성남시 수정구,,개인,개인,216동,41131-1642,0592,0000,,,중개거래,1,N,26.08.28,고등로,00034,00000,3352360,01,41131,0,41131,11200
성남시 수정구,41131,2026-08-04,신흥동,6951,산성역포레스티아,59.84,12,135000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
